variant,map50,precision,recall,f1,lpips,ssim,psnr,avg_sec_per_image
original,0.4532696047875098,0.56164523841158,0.433576059225271,0.4893704138589348,0.0,1.0,inf,0.0094275981752689
fabricate,0.3079256754728813,0.3921087605650893,0.2768151481110543,0.3245261328635057,0.0910070538248894,0.9950218592118624,36.99614059349661,0.0173097578461862
vanish,0.077520502116908,0.1694691989631249,0.1202216310654613,0.1406593609650901,0.0333756980036698,0.9950274145742288,38.54179721701061,0.0171945921536156
janusnet,0.1127413115762802,0.1960643566498147,0.0793178303108198,0.1129441198962999,0.1124507636307691,0.991372817298122,34.999256261702925,0.0409153104012719
