metric,original,janusnet,absolute_drop,relative_drop_percent
mAP50,0.4532696047875098,0.1127413115762802,0.3405282932112296,75.12709645953782
Precision,0.56164523841158,0.1960643566498147,0.3655808817617653,65.0910675918902
Recall,0.433576059225271,0.0793178303108198,0.3542582289144512,81.70613237885765
F1,0.4893704138589348,0.1129441198962999,0.37642629396263494,76.92052549592297
